S.No:  :RequestDate:  :ActionType:: ID:: noOfScan:: : totalScans :
S.No: 168RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 233.50
S.No: 169RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 234.50
S.No: 170RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 235.50
S.No: 171RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 236.50
S.No: 172RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 237.50
S.No: 173RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 238.50
S.No: 174RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 239.50
S.No: 175RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 240.50
S.No: 176RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 241.50
S.No: 177RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 242.50
S.No: 178RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 243.50
S.No: 179RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 244.50
S.No: 180RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 245.50
S.No: 181RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 246.50
S.No: 182RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 247.50
S.No: 183RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 248.50
S.No: 184RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 249.50
S.No: 185RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 250.50
S.No: 186RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 251.50
S.No: 187RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 252.50
S.No: 188RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 253.50
S.No: 189RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 254.50
S.No: 190RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 255.50
S.No: 191RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 256.50
S.No: 192RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 257.50
S.No: 193RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 258.50
S.No: 194RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 259.50
